Product ID	Variant ID	Product Type	Restaurant Name	Category	Name	Description	Price	On Sale	Sale Price	Stock	Visible
6314c24b8fa7f80b1bd47d15	5d24c8be-c672-4607-b53a-c7860e968f08	Regular	alans-bakery	/Bakery Cookies	Raspberry Flower Cookies	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47bd5	0a88e241-d075-4d39-b397-6a21940f77af	Regular	alans-bakery	/Rugelach	Raspberry Rugelach	Flaky; Baked fresh by Alan, packaged by Glick's	13.19	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47be5	6d7defb6-b8c2-48d6-bccf-6da1e181a097	Regular	alans-bakery	/Babkas	RICH Chocolate BABKA	Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c03	4380e7fd-adbb-4c97-9c2a-c10e2e79e017	Regular	alans-bakery	/Babkas	RICH Cinnamon BABKA	With Raisins; Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
63d2f6b231372c30549339c6	69c8395d-0d10-422b-8138-c9e142f3c076	Regular	alans-bakery	/Ring dings	RING DINGS	Ring Dings.	8.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cbe	1215e358-9dd6-442f-8233-2d5281c887ac	Regular	alans-bakery	/Brownie Cakes	ROCKY ROAD Brownie CAKE	Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c28	12353215-4692-4e4d-82f2-2d3ae7c33ee1	Regular	alans-bakery	/Kokosh cake	Russian Coffee CAKE	Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
63e53bd74ef219369e0e4015	dee6ec1b-ab86-49e6-87b0-8a1fabab5bc7	Regular	alans-bakery	/Rye bread	SMALL RYE BREAD	Small Rye Bread.	4.58	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d52	4d16c6da-8a8a-42b2-8afd-07ae4829ddb5	Regular	alans-bakery	/Soft Cookies	S'mores Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d57	52afb815-f0a5-4c04-89fc-56c705a467f7	Regular	alans-bakery	/Soft Cookies	SOFT SUGAR Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
63a3a5443fd219364f20ea18	4801c21f-8cf4-47b0-9e34-b51eeff25631	Regular	alans-bakery	/Cakes	Strawberry Shortcake	Strawberry Shortcake.	36.73	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47be0	2200e5a9-a2bf-4714-88ad-a66824796153	Regular	alans-bakery	/Babkas	Vanilla Danish BABKA	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47bd0	451d5e94-2d59-4dd6-8939-9a2c2fdb1ac8	Regular	alans-bakery	/Rugelach	Vanilla Rugelach	Baked fresh by Alan, packaged by Glick's	13.19	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d85	81afa92a-2dac-4a23-a6be-cf63213f2997	Regular	alans-bakery	/Challahs and Rolls	WATER Challah ROLL	1 roll per order	1.06	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d80	9d1471d2-3b97-4e9a-8a09-51c14e55875c	Regular	alans-bakery	/Challahs and Rolls	WATER Challah	Large water challah	7.5	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47db2	c1e3530b-cfd6-49ec-96c6-c2c48e9a71a7	Regular	alans-bakery	/Challahs and Rolls	MULTI GRAIN Challah	Large multi grain challah	7.5	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d71	8f962516-974e-44f1-90b1-d4c5f2305739	Regular	alans-bakery	/Challahs and Rolls	WHOLE WHEAT Challah	Large whole wheat challah	7.5	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d7b	a994af2a-8cdd-4866-88b7-ac788a04081d	Regular	alans-bakery	/Challahs and Rolls	WHOLE WHEAT Challah ROLL	1 roll per order	1.06	No	0	Unlimited	Yes
